[2026-04-30 14:37:53] epoch=1 device=cpu
[I am a student.] | [我是<<厨师>>。] | [我是学生。]
[I am a doctor.] | [我是<<厨师>>。] | [我是医生。]
[Tom likes rice.] | [汤姆想要汤。] | []
[Lucy eats noodles.] | [我是厨师。] | []
[Where is the library?] | [<<你想要汤。>>] | [图书馆在哪里？]
[Where is the bathroom?] | [你想要汤。] | []
[I want pizza.] | [我想要<<汤>>。] | [我想要披萨。]
[They like dumplings.] | [他们喜欢<<面条>>。] | [他们喜欢饺子。]
[We want soup.] | [我们想要汤。] | [我们想要汤。]
[Mary is a teacher.] | [<<我>>是<<厨>>师。] | [玛丽是老师。]

[2026-04-30 14:38:07] epoch=2 device=cpu
[I am a student.] | [我是<<司机>>。] | [我是学生。]
[I am a doctor.] | [我是<<司机>>。] | [我是医生。]
[Tom likes rice.] | [汤姆喜欢米饭。] | []
[Lucy eats noodles.] | [露西是护士。] | []
[Where is the library?] | [<<迈克是老师。>>] | [图书馆在哪里？]
[Where is the bathroom?] | [迈克是护士。] | []
[I want pizza.] | [我想要披萨。] | [我想要披萨。]
[They like dumplings.] | [他们喜欢饺子。] | [他们喜欢饺子。]
[We want soup.] | [我们想要汤。] | [我们想要汤。]
[Mary is a teacher.] | [玛丽是老师。] | [玛丽是老师。]

[2026-04-30 14:38:20] epoch=3 device=cpu
[I am a student.] | [我是学生。] | [我是学生。]
[I am a doctor.] | [我是<<老师>>。] | [我是医生。]
  WARN: low_entropy_bias? avg_entropy=0.5443 steps=5
[Tom likes rice.] | [汤姆喜欢米饭。] | []
[Lucy eats noodles.] | [露西是老师。] | []
[Where is the library?] | [<<我是老师。>>] | [图书馆在哪里？]
[Where is the bathroom?] | [玛丽是工程师。] | []
[I want pizza.] | [我想要披萨。] | [我想要披萨。]
[They like dumplings.] | [他们喜欢饺子。] | [他们喜欢饺子。]
[We want soup.] | [我们想要汤。] | [我们想要汤。]
[Mary is a teacher.] | [玛丽是老师。] | [玛丽是老师。]

[2026-04-30 14:38:35] epoch=4 device=cpu
[I am a student.] | [我是学生。] | [我是学生。]
[I am a doctor.] | [我是医生。] | [我是医生。]
[Tom likes rice.] | [汤姆喜欢米饭。] | []
[Lucy eats noodles.] | [露西喜欢面条。] | []
[Where is the library?] | [图书馆在哪里？] | [图书馆在哪里？]
[Where is the bathroom?] | [我是老师。] | []
[I want pizza.] | [我想要披萨。] | [我想要披萨。]
[They like dumplings.] | [他们喜欢饺子。] | [他们喜欢饺子。]
[We want soup.] | [我们想要汤。] | [我们想要汤。]
[Mary is a teacher.] | [玛丽是老师。] | [玛丽是老师。]

[2026-04-30 14:38:49] epoch=5 device=cpu
[I am a student.] | [我是学生。] | [我是学生。]
[I am a doctor.] | [我是医生。] | [我是医生。]
[Tom likes rice.] | [汤姆喜欢米饭。] | []
[Lucy eats noodles.] | [露西喜欢面条。] | []
[Where is the library?] | [图书馆在哪里？] | [图书馆在哪里？]
[Where is the bathroom?] | [图书馆在哪里？] | []
[I want pizza.] | [我想要披萨。] | [我想要披萨。]
[They like dumplings.] | [他们喜欢饺子。] | [他们喜欢饺子。]
[We want soup.] | [我们想要汤。] | [我们想要汤。]
[Mary is a teacher.] | [玛丽是老师。] | [玛丽是老师。]

[2026-04-30 14:39:03] epoch=6 device=cpu
[I am a student.] | [我是学生。] | [我是学生。]
[I am a doctor.] | [我是医生。] | [我是医生。]
[Tom likes rice.] | [汤姆喜欢米饭。] | []
[Lucy eats noodles.] | [露西喜欢面条。] | []
[Where is the library?] | [图书馆在哪里？] | [图书馆在哪里？]
[Where is the bathroom?] | [超市在哪里？] | []
[I want pizza.] | [我想要披萨。] | [我想要披萨。]
[They like dumplings.] | [他们喜欢饺子。] | [他们喜欢饺子。]
[We want soup.] | [我们想要汤。] | [我们想要汤。]
[Mary is a teacher.] | [玛丽是老师。] | [玛丽是老师。]

[2026-04-30 14:39:35] epoch=7 device=cpu
[I am a student.] | [我是学生。] | [我是学生。]
[I am a doctor.] | [我是医生。] | [我是医生。]
[Tom likes rice.] | [汤姆喜欢米饭。] | []
[Lucy eats noodles.] | [露西喜欢面条。] | []
[Where is the library?] | [图书馆在哪里？] | [图书馆在哪里？]
[Where is the bathroom?] | [超市在哪里？] | []
[I want pizza.] | [我想要披萨。] | [我想要披萨。]
[They like dumplings.] | [他们喜欢饺子。] | [他们喜欢饺子。]
[We want soup.] | [我们想要汤。] | [我们想要汤。]
[Mary is a teacher.] | [玛丽是老师。] | [玛丽是老师。]

[2026-04-30 14:40:07] epoch=8 device=cpu
[I am a student.] | [我是学生。] | [我是学生。]
[I am a doctor.] | [我是医生。] | [我是医生。]
[Tom likes rice.] | [汤姆喜欢米饭。] | []
[Lucy eats noodles.] | [露西喜欢面条。] | []
[Where is the library?] | [图书馆在哪里？] | [图书馆在哪里？]
[Where is the bathroom?] | [图书馆在哪里？] | []
[I want pizza.] | [我想要披萨。] | [我想要披萨。]
[They like dumplings.] | [他们喜欢饺子。] | [他们喜欢饺子。]
[We want soup.] | [我们想要汤。] | [我们想要汤。]
[Mary is a teacher.] | [玛丽是老师。] | [玛丽是老师。]

