Hello	你好
Hi	你好
Good morning	早上好
Good afternoon	下午好
Good evening	晚上好
Good night	晚安
Thank you	谢谢
Thanks	谢谢
You're welcome	不客气
Excuse me	打扰一下
I'm sorry	对不起
No problem	没问题
I don't understand	我不明白
Could you repeat that	你能再说一遍吗
Please speak slowly	请说慢一点
Nice to meet you	很高兴认识你
See you tomorrow	明天见
See you later	待会见
What is your name	你叫什么名字
My name is Tom	我叫汤姆
How are you?	你好吗？
Lucy like running.	露西喜欢跑步。
Lucy like reading.	露西喜欢读书。
Lucy like traveling.	露西喜欢旅行。
Lucy like swimming.	露西喜欢游泳。
Lucy like music.	露西喜欢音乐。
Lucy like photography.	露西喜欢摄影。
Lucy like sports.	露西喜欢运动。
Lucy like cooking.	露西喜欢做饭。
Lucy like movies.	露西喜欢电影。
Lucy like gaming.	露西喜欢打游戏。
Grace like running.	格蕾丝喜欢跑步。
Grace like reading.	格蕾丝喜欢读书。
Grace like traveling.	格蕾丝喜欢旅行。
Grace like swimming.	格蕾丝喜欢游泳。
Grace like music.	格蕾丝喜欢音乐。
Grace like photography.	格蕾丝喜欢摄影。
Grace like sports.	格蕾丝喜欢运动。
Grace like cooking.	格蕾丝喜欢做饭。
Grace like movies.	格蕾丝喜欢电影。
Grace like gaming.	格蕾丝喜欢打游戏。
Henry like running.	亨利喜欢跑步。
Henry like reading.	亨利喜欢读书。
Henry like traveling.	亨利喜欢旅行。
Henry like swimming.	亨利喜欢游泳。
Henry like music.	亨利喜欢音乐。
Henry like photography.	亨利喜欢摄影。
Henry like sports.	亨利喜欢运动。
Henry like cooking.	亨利喜欢做饭。
Henry like movies.	亨利喜欢电影。
Henry like gaming.	亨利喜欢打游戏。
Peter like running.	彼得喜欢跑步。
Peter like reading.	彼得喜欢读书。
Peter like traveling.	彼得喜欢旅行。
Peter like swimming.	彼得喜欢游泳。
Peter like music.	彼得喜欢音乐。
Peter like photography.	彼得喜欢摄影。
Peter like sports.	彼得喜欢运动。
Peter like cooking.	彼得喜欢做饭。
Peter like movies.	彼得喜欢电影。
Peter like gaming.	彼得喜欢打游戏。
Brian like running.	布莱恩喜欢跑步。
Brian like reading.	布莱恩喜欢读书。
Brian like traveling.	布莱恩喜欢旅行。
Brian like swimming.	布莱恩喜欢游泳。
Brian like music.	布莱恩喜欢音乐。
Brian like photography.	布莱恩喜欢摄影。
Brian like sports.	布莱恩喜欢运动。
Brian like cooking.	布莱恩喜欢做饭。
Brian like movies.	布莱恩喜欢电影。
Brian like gaming.	布莱恩喜欢打游戏。
Chris like running.	克里斯喜欢跑步。
Chris like reading.	克里斯喜欢读书。
Chris like traveling.	克里斯喜欢旅行。
Chris like swimming.	克里斯喜欢游泳。
Chris like music.	克里斯喜欢音乐。
Chris like photography.	克里斯喜欢摄影。
Chris like sports.	克里斯喜欢运动。
Chris like cooking.	克里斯喜欢做饭。
Chris like movies.	克里斯喜欢电影。
Chris like gaming.	克里斯喜欢打游戏。
Sophia like running.	索菲亚喜欢跑步。
Sophia like reading.	索菲亚喜欢读书。
Sophia like traveling.	索菲亚喜欢旅行。
Sophia like swimming.	索菲亚喜欢游泳。
Sophia like music.	索菲亚喜欢音乐。
Sophia like photography.	索菲亚喜欢摄影。
Sophia like sports.	索菲亚喜欢运动。
Sophia like cooking.	索菲亚喜欢做饭。
Sophia like movies.	索菲亚喜欢电影。
Sophia like gaming.	索菲亚喜欢打游戏。
Mike like running.	迈克喜欢跑步。
Mike like reading.	迈克喜欢读书。
Mike like traveling.	迈克喜欢旅行。
Mike like swimming.	迈克喜欢游泳。
Mike like music.	迈克喜欢音乐。
Mike like photography.	迈克喜欢摄影。
Mike like sports.	迈克喜欢运动。
Mike like cooking.	迈克喜欢做饭。
Mike like movies.	迈克喜欢电影。
Mike like gaming.	迈克喜欢打游戏。
James like running.	詹姆斯喜欢跑步。
James like reading.	詹姆斯喜欢读书。
James like traveling.	詹姆斯喜欢旅行。
James like swimming.	詹姆斯喜欢游泳。
James like music.	詹姆斯喜欢音乐。
James like photography.	詹姆斯喜欢摄影。
James like sports.	詹姆斯喜欢运动。
James like cooking.	詹姆斯喜欢做饭。
James like movies.	詹姆斯喜欢电影。
James like gaming.	詹姆斯喜欢打游戏。
Emma like running.	艾玛喜欢跑步。
Emma like reading.	艾玛喜欢读书。
Emma like traveling.	艾玛喜欢旅行。
Emma like swimming.	艾玛喜欢游泳。
Emma like music.	艾玛喜欢音乐。
Emma like photography.	艾玛喜欢摄影。
Emma like sports.	艾玛喜欢运动。
Emma like cooking.	艾玛喜欢做饭。
Emma like movies.	艾玛喜欢电影。
Emma like gaming.	艾玛喜欢打游戏。
Jason like running.	杰森喜欢跑步。
Jason like reading.	杰森喜欢读书。
Jason like traveling.	杰森喜欢旅行。
Jason like swimming.	杰森喜欢游泳。
Jason like music.	杰森喜欢音乐。
Jason like photography.	杰森喜欢摄影。
Jason like sports.	杰森喜欢运动。
Jason like cooking.	杰森喜欢做饭。
Jason like movies.	杰森喜欢电影。
Jason like gaming.	杰森喜欢打游戏。
Robert like running.	罗伯特喜欢跑步。
Robert like reading.	罗伯特喜欢读书。
Robert like traveling.	罗伯特喜欢旅行。
Robert like swimming.	罗伯特喜欢游泳。
Robert like music.	罗伯特喜欢音乐。
Robert like photography.	罗伯特喜欢摄影。
Robert like sports.	罗伯特喜欢运动。
Robert like cooking.	罗伯特喜欢做饭。
Robert like movies.	罗伯特喜欢电影。
Robert like gaming.	罗伯特喜欢打游戏。
Mia like running.	米娅喜欢跑步。
Mia like reading.	米娅喜欢读书。
Mia like traveling.	米娅喜欢旅行。
Mia like swimming.	米娅喜欢游泳。
Mia like music.	米娅喜欢音乐。
Mia like photography.	米娅喜欢摄影。
Mia like sports.	米娅喜欢运动。
Mia like cooking.	米娅喜欢做饭。
Mia like movies.	米娅喜欢电影。
Mia like gaming.	米娅喜欢打游戏。
Anna like running.	安娜喜欢跑步。
Anna like reading.	安娜喜欢读书。
Anna like traveling.	安娜喜欢旅行。
Anna like swimming.	安娜喜欢游泳。
Anna like music.	安娜喜欢音乐。
Anna like photography.	安娜喜欢摄影。
Anna like sports.	安娜喜欢运动。
Anna like cooking.	安娜喜欢做饭。
Anna like movies.	安娜喜欢电影。
Anna like gaming.	安娜喜欢打游戏。
David like running.	大卫喜欢跑步。
David like reading.	大卫喜欢读书。
David like traveling.	大卫喜欢旅行。
David like swimming.	大卫喜欢游泳。
David like music.	大卫喜欢音乐。
David like photography.	大卫喜欢摄影。
David like sports.	大卫喜欢运动。
David like cooking.	大卫喜欢做饭。
David like movies.	大卫喜欢电影。
David like gaming.	大卫喜欢打游戏。
Nancy like running.	南希喜欢跑步。
Nancy like reading.	南希喜欢读书。
Nancy like traveling.	南希喜欢旅行。
Nancy like swimming.	南希喜欢游泳。
Nancy like music.	南希喜欢音乐。
Nancy like photography.	南希喜欢摄影。
Nancy like sports.	南希喜欢运动。
Nancy like cooking.	南希喜欢做饭。
Nancy like movies.	南希喜欢电影。
Nancy like gaming.	南希喜欢打游戏。
John like running.	约翰喜欢跑步。
John like reading.	约翰喜欢读书。
John like traveling.	约翰喜欢旅行。
John like swimming.	约翰喜欢游泳。
John like music.	约翰喜欢音乐。
John like photography.	约翰喜欢摄影。
John like sports.	约翰喜欢运动。
John like cooking.	约翰喜欢做饭。
John like movies.	约翰喜欢电影。
John like gaming.	约翰喜欢打游戏。
Kevin like running.	凯文喜欢跑步。
Kevin like reading.	凯文喜欢读书。
Kevin like traveling.	凯文喜欢旅行。
Kevin like swimming.	凯文喜欢游泳。
Kevin like music.	凯文喜欢音乐。
Kevin like photography.	凯文喜欢摄影。
Kevin like sports.	凯文喜欢运动。
Kevin like cooking.	凯文喜欢做饭。
Kevin like movies.	凯文喜欢电影。
Kevin like gaming.	凯文喜欢打游戏。
I like running.	我喜欢跑步。
I like reading.	我喜欢读书。
I like traveling.	我喜欢旅行。
I like swimming.	我喜欢游泳。
I like music.	我喜欢音乐。
I like photography.	我喜欢摄影。
I like sports.	我喜欢运动。
I like cooking.	我喜欢做饭。
I like movies.	我喜欢电影。
I like gaming.	我喜欢打游戏。
Frank like running.	弗兰克喜欢跑步。
Frank like reading.	弗兰克喜欢读书。
Frank like traveling.	弗兰克喜欢旅行。
Frank like swimming.	弗兰克喜欢游泳。
Frank like music.	弗兰克喜欢音乐。
Frank like photography.	弗兰克喜欢摄影。
Frank like sports.	弗兰克喜欢运动。
Frank like cooking.	弗兰克喜欢做饭。
Frank like movies.	弗兰克喜欢电影。
Frank like gaming.	弗兰克喜欢打游戏。
Linda like running.	琳达喜欢跑步。
Linda like reading.	琳达喜欢读书。
Linda like traveling.	琳达喜欢旅行。
Linda like swimming.	琳达喜欢游泳。
Linda like music.	琳达喜欢音乐。
Linda like photography.	琳达喜欢摄影。
Linda like sports.	琳达喜欢运动。
Linda like cooking.	琳达喜欢做饭。
Linda like movies.	琳达喜欢电影。
Linda like gaming.	琳达喜欢打游戏。
Daniel like running.	丹尼尔喜欢跑步。
Daniel like reading.	丹尼尔喜欢读书。
Daniel like traveling.	丹尼尔喜欢旅行。
Daniel like swimming.	丹尼尔喜欢游泳。
Daniel like music.	丹尼尔喜欢音乐。
Daniel like photography.	丹尼尔喜欢摄影。
Daniel like sports.	丹尼尔喜欢运动。
Daniel like cooking.	丹尼尔喜欢做饭。
Daniel like movies.	丹尼尔喜欢电影。
Daniel like gaming.	丹尼尔喜欢打游戏。
We like running.	我们喜欢跑步。
We like reading.	我们喜欢读书。
We like traveling.	我们喜欢旅行。
We like swimming.	我们喜欢游泳。
We like music.	我们喜欢音乐。
We like photography.	我们喜欢摄影。
We like sports.	我们喜欢运动。
We like cooking.	我们喜欢做饭。
We like movies.	我们喜欢电影。
We like gaming.	我们喜欢打游戏。
Alice like running.	爱丽丝喜欢跑步。
Alice like reading.	爱丽丝喜欢读书。
Alice like traveling.	爱丽丝喜欢旅行。
Alice like swimming.	爱丽丝喜欢游泳。
Alice like music.	爱丽丝喜欢音乐。
Alice like photography.	爱丽丝喜欢摄影。
Alice like sports.	爱丽丝喜欢运动。
Alice like cooking.	爱丽丝喜欢做饭。
Alice like movies.	爱丽丝喜欢电影。
Alice like gaming.	爱丽丝喜欢打游戏。
Lily like running.	莉莉喜欢跑步。
Lily like reading.	莉莉喜欢读书。
Lily like traveling.	莉莉喜欢旅行。
Lily like swimming.	莉莉喜欢游泳。
Lily like music.	莉莉喜欢音乐。
Lily like photography.	莉莉喜欢摄影。
Lily like sports.	莉莉喜欢运动。
Lily like cooking.	莉莉喜欢做饭。
Lily like movies.	莉莉喜欢电影。
Lily like gaming.	莉莉喜欢打游戏。
Chloe like running.	克洛伊喜欢跑步。
Chloe like reading.	克洛伊喜欢读书。
Chloe like traveling.	克洛伊喜欢旅行。
Chloe like swimming.	克洛伊喜欢游泳。
Chloe like music.	克洛伊喜欢音乐。
Chloe like photography.	克洛伊喜欢摄影。
